STATION_ID,STATION_NAME,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE_EXP,YELLOW,PINK,ORANGE,LOCATION,LATITUDE,LONGITUDE,geometry
40190,Sox-35th (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.831191, -87.630636)",41.831191,-87.630636,POINT (-87.630636 41.831191)
40210,Damen (Pink Line),True,False,False,False,False,False,False,False,True,False,"(41.854517, -87.675975)",41.854517,-87.675975,POINT (-87.675975 41.854517)
40220,Western (Blue Line - Forest Park Branch),False,False,True,False,False,False,False,False,False,False,"(41.875478, -87.688436)",41.875478,-87.688436,POINT (-87.688436 41.875478)
40230,Cumberland (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.984246, -87.838028)",41.984246,-87.838028,POINT (-87.838028 41.984246)
40240,79th (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.750419, -87.625112)",41.750419,-87.625112,POINT (-87.625112 41.750419)
40250,Kedzie-Homan (Blue Line),True,False,True,False,False,False,False,False,False,False,"(41.874341, -87.70604)",41.874341,-87.70604,POINT (-87.70604 41.874341)
40260,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",False,False,False,True,True,False,True,False,True,True,"(41.88574, -87.627835)",41.88574,-87.627835,POINT (-87.627835 41.88574)
40270,Main (Purple Line),False,False,False,False,False,True,True,False,False,False,"(42.033456, -87.679538)",42.033456,-87.679538,POINT (-87.679538 42.033456)
40280,Central (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.887389, -87.76565)",41.887389,-87.76565,POINT (-87.76565 41.887389)
40290,Ashland/63rd (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.77886, -87.663766)",41.77886,-87.663766,POINT (-87.663766 41.77886)
40300,Indiana (Green Line),True,False,False,True,False,False,False,False,False,False,"(41.821732, -87.621371)",41.821732,-87.621371,POINT (-87.621371 41.821732)
40310,Western (Orange Line),True,False,False,False,False,False,False,False,False,True,"(41.804546, -87.684019)",41.804546,-87.684019,POINT (-87.684019 41.804546)
40320,Division (Blue Line),False,False,True,False,False,False,False,False,False,False,"(41.903355, -87.666496)",41.903355,-87.666496,POINT (-87.666496 41.903355)
40330,Grand (Red Line),True,True,False,False,False,False,False,False,False,False,"(41.891665, -87.628021)",41.891665,-87.628021,POINT (-87.628021 41.891665)
